layer,geoid,topic,stratification,period,value
Zip code,54136,FVDEYLCV,NOT4,2023-2024,3488
Zip code,54136,FVDEYLCV,OTH52,2023-2024,111
Zip code,54136,FVDEYLCV,P,2023-2024,8
Zip code,54136,FVDEYLCV,P1,2023-2024,3
Zip code,54136,FVDEYLCV,PK1,2023-2024,25
Zip code,54136,FVDEYLCV,Q,2023-2024,138
Zip code,54136,FVDEYLCV,SIG1,2023-2024,25
Zip code,54136,FVDEYLCV,SPE2,2023-2024,85
Zip code,54136,FVDEYLCV,SPE3,2023-2024,79
Zip code,54136,FVDEYLCV,SWD1,2023-2024,448
Zip code,54136,FVDEYLCV,SWO1,2023-2024,3040
Zip code,54136,FVDEYLCV,W,2023-2024,3025
Zip code,54136,FVDEYLCV,X1012,2023-2024,391
Zip code,54136,FVDEYLCV,X113,2023-2024,407
Zip code,54136,FVDEYLCV,X1210,2023-2024,392
Zip code,54136,FVDEYLCV,X1S2,2023-2024,74
Zip code,54136,FVDEYLCV,X2N2,2023-2024,88
Zip code,54136,FVDEYLCV,X3R2,2023-2024,95
Zip code,54136,FVDEYLCV,X4T2,2023-2024,89
Zip code,54136,FVDEYLCV,X5T3,2023-2024,200
Zip code,54136,FVDEYLCV,X6T3,2023-2024,219
Zip code,54136,FVDEYLCV,X7T2,2023-2024,398
Zip code,54136,FVDEYLCV,X8T2,2023-2024,380
Zip code,54136,FVDEYLCV,X9T3,2023-2024,381
Zip code,54140,FVDEYLCV,,2023-2024,1567
Zip code,54140,FVDEYLCV,A,2023-2024,24
Zip code,54140,FVDEYLCV,AUT2,2023-2024,22
Zip code,54140,FVDEYLCV,B,2023-2024,36
Zip code,54140,FVDEYLCV,ECO1,2023-2024,570
Zip code,54140,FVDEYLCV,EL1,2023-2024,46
Zip code,54140,FVDEYLCV,EMO1,2023-2024,10
Zip code,54140,FVDEYLCV,ENG3,2023-2024,1521
Zip code,54140,FVDEYLCV,FEM3,2023-2024,575
Zip code,54140,FVDEYLCV,H,2023-2024,153
Zip code,54140,FVDEYLCV,K41,2023-2024,58
Zip code,54140,FVDEYLCV,KIN2,2023-2024,106
Zip code,54140,FVDEYLCV,MAL15,2023-2024,821
Zip code,54140,FVDEYLCV,NOT2,2023-2024,1231
Zip code,54140,FVDEYLCV,NOT3,2023-2024,997
Zip code,54140,FVDEYLCV,NOT4,2023-2024,1567
Zip code,54140,FVDEYLCV,OTH52,2023-2024,62
Zip code,54140,FVDEYLCV,P,2023-2024,13
Zip code,54140,FVDEYLCV,PK1,2023-2024,5
Zip code,54140,FVDEYLCV,Q,2023-2024,74
Zip code,54140,FVDEYLCV,SIG1,2023-2024,28
Zip code,54140,FVDEYLCV,SPE2,2023-2024,42
Zip code,54140,FVDEYLCV,SPE3,2023-2024,27
Zip code,54140,FVDEYLCV,SWD1,2023-2024,244
Zip code,54140,FVDEYLCV,SWO1,2023-2024,1231
Zip code,54140,FVDEYLCV,W,2023-2024,1267
Zip code,54140,FVDEYLCV,X1012,2023-2024,122
Zip code,54140,FVDEYLCV,X113,2023-2024,129
Zip code,54140,FVDEYLCV,X1210,2023-2024,102
Zip code,54140,FVDEYLCV,X1S2,2023-2024,119
Zip code,54140,FVDEYLCV,X2N2,2023-2024,111
Zip code,54140,FVDEYLCV,X3R2,2023-2024,125
Zip code,54140,FVDEYLCV,X4T2,2023-2024,108
Zip code,54140,FVDEYLCV,X5T3,2023-2024,113
Zip code,54140,FVDEYLCV,X6T3,2023-2024,107
Zip code,54140,FVDEYLCV,X7T2,2023-2024,127
Zip code,54140,FVDEYLCV,X8T2,2023-2024,111
Zip code,54140,FVDEYLCV,X9T3,2023-2024,124
Zip code,54165,FVDEYLCV,,2023-2024,1452
Zip code,54165,FVDEYLCV,A,2023-2024,8
Zip code,54165,FVDEYLCV,AUT2,2023-2024,22
Zip code,54165,FVDEYLCV,B,2023-2024,6
Zip code,54165,FVDEYLCV,ECO1,2023-2024,576
Zip code,54165,FVDEYLCV,EL1,2023-2024,10
Zip code,54165,FVDEYLCV,EMO1,2023-2024,9
Zip code,54165,FVDEYLCV,ENG3,2023-2024,1442
Zip code,54165,FVDEYLCV,FEM3,2023-2024,697
Zip code,54165,FVDEYLCV,H,2023-2024,111
Zip code,54165,FVDEYLCV,INT7,2023-2024,6
Zip code,54165,FVDEYLCV,K41,2023-2024,45
Zip code,54165,FVDEYLCV,KIN2,2023-2024,79
Zip code,54165,FVDEYLCV,MAL15,2023-2024,755
Zip code,54165,FVDEYLCV,NOT2,2023-2024,1245
Zip code,54165,FVDEYLCV,NOT3,2023-2024,876
Zip code,54165,FVDEYLCV,NOT4,2023-2024,1452
Zip code,54165,FVDEYLCV,OTH52,2023-2024,33
Zip code,54165,FVDEYLCV,P,2023-2024,148
Zip code,54165,FVDEYLCV,P1,2023-2024,1
Zip code,54165,FVDEYLCV,PK1,2023-2024,7
Zip code,54165,FVDEYLCV,Q,2023-2024,121
Zip code,54165,FVDEYLCV,SIG1,2023-2024,13
Zip code,54165,FVDEYLCV,SPE2,2023-2024,48
Zip code,54165,FVDEYLCV,SPE3,2023-2024,49
Zip code,54165,FVDEYLCV,SWD1,2023-2024,207
Zip code,54165,FVDEYLCV,SWO1,2023-2024,1245
Zip code,54165,FVDEYLCV,W,2023-2024,1057
Zip code,54165,FVDEYLCV,X1012,2023-2024,148
Zip code,54165,FVDEYLCV,X113,2023-2024,164
Zip code,54165,FVDEYLCV,X1210,2023-2024,139
Zip code,54165,FVDEYLCV,X1S2,2023-2024,77
Zip code,54165,FVDEYLCV,X2N2,2023-2024,81
Zip code,54165,FVDEYLCV,X3R2,2023-2024,104
Zip code,54165,FVDEYLCV,X4T2,2023-2024,86
Zip code,54165,FVDEYLCV,X5T3,2023-2024,98
Zip code,54165,FVDEYLCV,X6T3,2023-2024,84
Zip code,54165,FVDEYLCV,X7T2,2023-2024,97
Zip code,54165,FVDEYLCV,X8T2,2023-2024,99
Zip code,54165,FVDEYLCV,X9T3,2023-2024,144
Zip code,54170,FVDEYLCV,,2023-2024,721
Zip code,54170,FVDEYLCV,B,2023-2024,4
Zip code,54170,FVDEYLCV,ECO1,2023-2024,251
Zip code,54170,FVDEYLCV,EL1,2023-2024,26
Zip code,54170,FVDEYLCV,ENG3,2023-2024,695
Zip code,54170,FVDEYLCV,FEM3,2023-2024,360
Zip code,54170,FVDEYLCV,H,2023-2024,77
Zip code,54170,FVDEYLCV,K41,2023-2024,51
Zip code,54170,FVDEYLCV,KIN2,2023-2024,42
Zip code,54170,FVDEYLCV,MAL15,2023-2024,361
Zip code,54170,FVDEYLCV,NOT2,2023-2024,621
Zip code,54170,FVDEYLCV,NOT3,2023-2024,470
Zip code,54170,FVDEYLCV,NOT4,2023-2024,721
Zip code,54170,FVDEYLCV,OTH52,2023-2024,6
Zip code,54170,FVDEYLCV,P,2023-2024,1
Zip code,54170,FVDEYLCV,PK1,2023-2024,1
Zip code,54170,FVDEYLCV,Q,2023-2024,15
Zip code,54170,FVDEYLCV,SIG1,2023-2024,18
Zip code,54170,FVDEYLCV,SPE2,2023-2024,26
Zip code,54170,FVDEYLCV,SPE3,2023-2024,27
Zip code,54170,FVDEYLCV,SWD1,2023-2024,100
Zip code,54170,FVDEYLCV,SWO1,2023-2024,621
Zip code,54170,FVDEYLCV,W,2023-2024,624
Zip code,54170,FVDEYLCV,X1012,2023-2024,51
Zip code,54170,FVDEYLCV,X113,2023-2024,59
Zip code,54170,FVDEYLCV,X1210,2023-2024,52
Zip code,54170,FVDEYLCV,X1S2,2023-2024,50
Zip code,54170,FVDEYLCV,X2N2,2023-2024,57
Zip code,54170,FVDEYLCV,X3R2,2023-2024,51
Zip code,54170,FVDEYLCV,X4T2,2023-2024,55
Zip code,54170,FVDEYLCV,X5T3,2023-2024,45
Zip code,54170,FVDEYLCV,X6T3,2023-2024,57
Zip code,54170,FVDEYLCV,X7T2,2023-2024,50
Zip code,54170,FVDEYLCV,X8T2,2023-2024,48
Zip code,54170,FVDEYLCV,X9T3,2023-2024,52
Zip code,54901,FVDEYLCV,,2023-2024,3699
Zip code,54901,FVDEYLCV,A,2023-2024,345
Zip code,54901,FVDEYLCV,AUT2,2023-2024,55
Zip code,54901,FVDEYLCV,B,2023-2024,557
Zip code,54901,FVDEYLCV,ECO1,2023-2024,2348
Zip code,54901,FVDEYLCV,EL1,2023-2024,380
Zip code,54901,FVDEYLCV,EMO1,2023-2024,96
Zip code,54901,FVDEYLCV,ENG3,2023-2024,3318
Zip code,54901,FVDEYLCV,FEM3,2023-2024,1770
Zip code,54901,FVDEYLCV,H,2023-2024,380
Zip code,54901,FVDEYLCV,INT7,2023-2024,46
Zip code,54901,FVDEYLCV,KIN2,2023-2024,259
Zip code,54901,FVDEYLCV,MAL15,2023-2024,1929
Zip code,54901,FVDEYLCV,NOT2,2023-2024,2970
Zip code,54901,FVDEYLCV,NOT3,2023-2024,1351
Zip code,54901,FVDEYLCV,NOT4,2023-2024,3699
Zip code,54901,FVDEYLCV,OTH52,2023-2024,99
Zip code,54901,FVDEYLCV,P,2023-2024,20
Zip code,54901,FVDEYLCV,Q,2023-2024,378
Zip code,54901,FVDEYLCV,SIG1,2023-2024,77
Zip code,54901,FVDEYLCV,SPE2,2023-2024,164
Zip code,54901,FVDEYLCV,SPE3,2023-2024,95
Zip code,54901,FVDEYLCV,SWD1,2023-2024,729
Zip code,54901,FVDEYLCV,SWO1,2023-2024,2970
Zip code,54901,FVDEYLCV,UNK4,2023-2024,1
Zip code,54901,FVDEYLCV,W,2023-2024,2019
Zip code,54901,FVDEYLCV,X1012,2023-2024,308
Zip code,54901,FVDEYLCV,X113,2023-2024,320
Zip code,54901,FVDEYLCV,X1210,2023-2024,337
Zip code,54901,FVDEYLCV,X1S2,2023-2024,283
Zip code,54901,FVDEYLCV,X2N2,2023-2024,268
Zip code,54901,FVDEYLCV,X3R2,2023-2024,273
Zip code,54901,FVDEYLCV,X4T2,2023-2024,280
Zip code,54901,FVDEYLCV,X5T3,2023-2024,263
Zip code,54901,FVDEYLCV,X6T3,2023-2024,278
Zip code,54901,FVDEYLCV,X7T2,2023-2024,268
Zip code,54901,FVDEYLCV,X8T2,2023-2024,265
Zip code,54901,FVDEYLCV,X9T3,2023-2024,297
Zip code,54902,FVDEYLCV,,2023-2024,4141
Zip code,54902,FVDEYLCV,A,2023-2024,310
Zip code,54902,FVDEYLCV,AUT2,2023-2024,84
Zip code,54902,FVDEYLCV,B,2023-2024,218
Zip code,54902,FVDEYLCV,ECO1,2023-2024,1750
Zip code,54902,FVDEYLCV,EL1,2023-2024,210
Zip code,54902,FVDEYLCV,EMO1,2023-2024,30
Zip code,54902,FVDEYLCV,ENG3,2023-2024,3931
Zip code,54902,FVDEYLCV,FEM3,2023-2024,2008
Zip code,54902,FVDEYLCV,H,2023-2024,321
Zip code,54902,FVDEYLCV,INT7,2023-2024,20
Zip code,54902,FVDEYLCV,K41,2023-2024,502
Zip code,54902,FVDEYLCV,KIN2,2023-2024,195
Zip code,54902,FVDEYLCV,MAL15,2023-2024,1272
Zip code,54902,FVDEYLCV,NOT2,2023-2024,3510
Zip code,54902,FVDEYLCV,NOT3,2023-2024,2332
