layer,geoid,topic,stratification,period,value
City or town,5556800,FVDEYLCV,NOT4,2019-2020,1018
City or town,5556800,FVDEYLCV,B,2019-2020,4
City or town,5556800,FVDEYLCV,H,2019-2020,74
City or town,5556800,FVDEYLCV,Q,2019-2020,21
City or town,5556800,FVDEYLCV,W,2019-2020,910
City or town,5556800,FVDEYLCV,EMO1,2019-2020,6
City or town,5556800,FVDEYLCV,OTH52,2019-2020,16
City or town,5556800,FVDEYLCV,SPE2,2019-2020,26
City or town,5556800,FVDEYLCV,X1012,2019-2020,81
City or town,5556800,FVDEYLCV,X113,2019-2020,86
City or town,5556800,FVDEYLCV,X1210,2019-2020,88
City or town,5556800,FVDEYLCV,X9T3,2019-2020,79
City or town,5556800,FVDEYLCV,A,2019-2020,7
City or town,5556800,FVDEYLCV,P1,2019-2020,2
City or town,5556800,FVDEYLCV,X6T3,2019-2020,73
City or town,5556800,FVDEYLCV,X7T2,2019-2020,77
City or town,5556800,FVDEYLCV,X8T2,2019-2020,74
City or town,5559875,FVDEYLCV,,2019-2020,1118
City or town,5559875,FVDEYLCV,NOT2,2019-2020,979
City or town,5559875,FVDEYLCV,OTH52,2019-2020,10
City or town,5559875,FVDEYLCV,SPE2,2019-2020,37
City or town,5559875,FVDEYLCV,SPE3,2019-2020,30
City or town,5559875,FVDEYLCV,SWD1,2019-2020,139
City or town,5559875,FVDEYLCV,SWO1,2019-2020,979
City or town,5559875,FVDEYLCV,ECO1,2019-2020,365
City or town,5559875,FVDEYLCV,NOT3,2019-2020,753
City or town,5559875,FVDEYLCV,EL1,2019-2020,19
City or town,5559875,FVDEYLCV,ENG3,2019-2020,1099
City or town,5559875,FVDEYLCV,FEM3,2019-2020,543
City or town,5559875,FVDEYLCV,MAL15,2019-2020,575
City or town,5559875,FVDEYLCV,X2N2,2019-2020,60
City or town,5559875,FVDEYLCV,X3R2,2019-2020,89
City or town,5559875,FVDEYLCV,X4T2,2019-2020,73
City or town,5559875,FVDEYLCV,X5T3,2019-2020,87
City or town,5559875,FVDEYLCV,NOT4,2019-2020,1118
City or town,5559875,FVDEYLCV,A,2019-2020,9
City or town,5559875,FVDEYLCV,B,2019-2020,14
City or town,5559875,FVDEYLCV,H,2019-2020,55
City or town,5559875,FVDEYLCV,Q,2019-2020,29
City or town,5559875,FVDEYLCV,W,2019-2020,1011
City or town,5559875,FVDEYLCV,AUT2,2019-2020,6
City or town,5559875,FVDEYLCV,X1012,2019-2020,84
City or town,5559875,FVDEYLCV,X113,2019-2020,79
City or town,5559875,FVDEYLCV,X1210,2019-2020,100
